Line,Existing_Trans_Capacity,New_Trans_Capacity,Total_Pipes,Fixed_Cost_Pipes
1,0.0,3.783446e-5,1.872993e-6,26.759302
2,0.0,1.8767095,0.09290641,967529.6
3,0.0,35.150913,1.7401443,2.1029992e7
4,0.0,0.00020484084,1.0140635e-5,88.57717
5,0.0,2.4811998e-5,1.2283167e-6,16.077208
6,0.0,4.015467e-5,1.987855e-6,25.450794
7,0.0,3.5011723e-5,1.7332536e-6,21.445053
8,0.0,10.588628,0.52418953,6.264936e6
9,0.0,0.5366605,0.026567351,219089.39
10,0.0,3.111146,0.15401712,1.4775314e6
11,0.0,0.21244264,0.010516962,128231.586
12,0.0,82.4573,4.0820446,4.8961744e7
13,0.0,96.42319,4.773425,3.235867e7
14,0.0,4.5085933e-5,2.2319769e-6,36.921364
15,0.0,37.715538,1.8671057,2.329449e7
16,0.0,29.556925,1.4632142,3.6995132e7
17,0.0,3.3763925e-5,1.6714815e-6,27.115019
18,0.0,3.488441e-5,1.726951e-6,15.34736
19,0.0,106.163414,5.2556148,7.150375e7
20,0.0,1.6414104e-5,8.125794e-7,21.783575
21,0.0,0.014942235,0.0007397146,11365.18
22,0.0,2.3951337e-5,1.1857097e-6,21.036173
23,0.0,17.014338,0.842294,1.0304289e7
24,0.0,136.14763,6.739981,1.11262584e8
25,0.0,0.008767162,0.00043401794,4600.831
26,0.0,133.347,6.601337,8.940034e7
27,0.0,36.431915,1.8035601,2.9475988e7
28,0.0,32.300728,1.5990459,1.7584146e7
29,0.0,48.591293,2.4055097,3.3497474e7
30,0.0,58.385838,2.890388,5.225476e7
31,0.0,6.05381,0.29969358,3.444164e6
32,0.0,2.6551867,0.13144489,1.917886e6
33,0.0,65.5953,3.2472918,3.6712644e7
34,0.0,7.841351e-5,3.881857e-6,63.438763
35,0.0,40.44142,2.0020504,2.824023e7
36,0.0,103.446724,5.1211247,7.613101e7
37,0.0,0.00020121133,9.960957e-6,63.316208
38,0.0,2.721393e-5,1.3472243e-6,12.266226
39,0.0,0.07560307,0.003742726,53699.91
40,0.0,4.1237443e-5,2.0414577e-6,38.878056
41,0.0,8.704165e-5,4.308992e-6,85.7875
42,0.0,11.7768955,0.5830146,1.3763124e7
43,0.0,10.052324,0.4976398,1.0847391e7
44,0.0,30.952703,1.532312,2.988653e7
45,0.0,0.83892274,0.04153083,1.090388e6
46,0.0,3.245797e-5,1.6068302e-6,39.11355
47,0.0,2.9912195e-5,1.4808016e-6,27.053698
48,0.0,3.1109455,0.15400721,3.953813e6
49,0.0,4.630633,0.22923926,6.2893465e6
50,0.0,13.353578,0.6610682,1.8676256e7
51,0.0,9.720719e-6,4.8122376e-7,17.557531
52,0.0,1.4051564e-5,6.95622e-7,22.912205
53,0.0,4.0238065e-5,1.9919835e-6,48.44639
54,0.0,2.4712763e-5,1.2234041e-6,32.593185
55,0.0,14.658554,0.725671,1.3624402e7
56,0.0,6.4601893,0.31981134,8.937196e6
57,0.0,1.77794e-5,8.8016833e-7,18.532742
58,0.0,2.595536e-5,1.2849189e-6,25.900295
59,0.0,0.39417025,0.019513378,382865.4
60,0.0,13.18424,0.65268517,9.79129e6
61,0.0,5.2897863,0.26187062,4.7947195e6
62,0.0,6.7965906e-5,3.3646486e-6,63.858852
63,0.0,12.143681,0.6011723,1.4836605e7
64,0.0,223.53848,11.066261,3.2356714e8
65,0.0,4.005557e-5,1.982949e-6,20.31121
66,0.0,3.0111956e-5,1.4906909e-6,39.8296
67,0.0,10.378782,0.5138011,9.244337e6
68,0.0,210.26949,10.409381,1.3388104e8
69,0.0,257.70032,12.7574415,2.5266387e8
70,0.0,53.72124,2.6594675,3.427994e7
71,0.0,172.9045,8.5596285,1.393105e8
72,0.0,8.432512,0.41745108,6.1250605e6
73,0.0,86.3337,4.273946,9.417785e7
74,0.0,25.744429,1.2744766,3.1883392e7
75,0.0,18.046097,0.8933711,1.8543992e7
76,0.0,0.0007037404,3.4838635e-5,471.72015
77,0.0,9.346085,0.46267748,8.0862945e6
78,0.0,5.1708817,0.25598425,4.008479e6
79,0.0,102.499985,5.074257,9.6072904e7
80,0.0,1.993198e-5,9.867317e-7,20.481615
81,0.0,68.354324,3.3838773,4.188114e7
82,0.0,28.009789,1.3866231,2.8219464e7
83,0.0,2.2437163e-5,1.1107506e-6,20.026833
84,0.0,3.5500677,0.17574593,2.369136e6
85,0.0,1.9578085e-5,9.692121e-7,24.779356
86,0.0,5.8934913,0.291757,6.9187835e6
87,0.0,10.496571,0.5196322,1.219943e7
88,0.0,102.851265,5.0916467,5.9043904e7
89,0.0,0.8121856,0.040207207,634187.06
90,0.0,3.2406606e-5,1.6042875e-6,15.467871
91,0.0,6.41142,0.31739703,5.6237335e6
92,0.0,0.45445594,0.02249782,202842.75
93,0.0,3.3295977,0.16483156,2.970209e6
94,0.0,2.0411202e-5,1.0104555e-6,16.287125
95,0.0,1.3184553,0.065270066,884954.56
96,0.0,51.16734,2.5330367,2.8619466e7
97,0.0,21.359383,1.0573951,1.3987111e7
98,0.0,3.2259093e-5,1.5969847e-6,20.078943
99,0.0,0.6370653,0.031537887,545388.1
100,0.0,106.418945,5.268265,9.99766e7
101,0.0,1.7564704e-5,8.695398e-7,18.292479
102,0.0,0.14863168,0.007358004,67068.99
103,0.0,2.5196805,0.12473667,1.1334628e6
104,0.0,3.7591832,0.18609817,1.8762964e6
105,0.0,2.7206101,0.13468367,1.7943702e6
106,0.0,8.54293,0.4229173,4.3778315e6
107,0.0,2.6641245,0.13188735,2.243223e6
108,0.0,43.16946,2.1371021,1.2514939e7
109,0.0,0.43357107,0.021463914,180374.72
110,0.0,14.176188,0.7017915,1.710401e7
111,0.0,7.4287644e-5,3.677606e-6,34.872486
112,0.0,29.176725,1.4443923,3.1005648e7
113,0.0,2.430496,0.12032158,1.4794818e6
114,0.0,2.1663815e-5,1.0724661e-6,28.122507
115,0.0,0.10883469,0.005387856,93150.72
116,0.0,2.5603302,0.12674902,2.7045935e6
117,0.0,60.44682,2.9924166,5.5408972e7
118,0.0,196.7256,9.738892,1.0169299e8
119,0.0,70.95028,3.51239,4.3363172e7
120,0.0,4.3528365e-5,2.1548697e-6,26.846554
121,0.0,22.863783,1.1318705,2.5390442e7
122,0.0,1.391222e-5,6.887238e-7,12.482357
123,0.0,3.2891462,0.16282901,3.8990318e6
124,0.0,0.00012365571,6.12157e-6,86.168
125,0.0,22.309916,1.1044513,1.4645309e7
126,0.0,0.45349833,0.022450412,247833.4
127,0.0,3.1952448e-5,1.5818043e-6,25.734625
128,0.0,22.256481,1.101806,1.5966189e7
129,0.0,1.9084401,0.094477236,1.740929e6
130,0.0,1.8578163e-5,9.19711e-7,19.35144
131,0.0,27.340385,1.3534844,3.779722e7
132,0.0,1.48890995e-5,7.370841e-7,25.90953
133,0.0,14.658554,0.725671,1.3624402e7
134,0.0,32.408173,1.604365,2.4650602e7
135,0.0,2.9745047,0.14725271,2.651142e6
136,0.0,2.9745047,0.14725271,2.651142e6
137,0.0,30.904903,1.5299457,5.3616316e7
138,0.0,13.679394,0.67719775,1.8878128e7
139,0.0,25.784828,1.2764766,3.7786308e7
140,0.0,36.431915,1.8035603,2.947599e7
141,0.0,0.18031447,0.008926459,385226.84
142,0.0,7.6960634e-5,3.8099324e-6,180.06668
143,0.0,13.679394,0.67719775,1.8878128e7
144,0.0,5.215125,0.2581745,5.9698085e6
145,0.0,32.408173,1.604365,2.4650602e7
146,0.0,4.0424423,0.20012091,1.0369225e7
147,0.0,1.7499441,0.086630896,3.734223e6
