Line,New_Trans_Capacity,Cost_Trans_Capacity
1,5.4895248e-11,5.0288274e-10
2,6.1665023e-10,4.117664e-9
3,8.387605e-10,6.499578e-9
4,3.3370616,18.690212
5,0.3530851,2.9632823
6,7.495585e-10,6.153406e-9
7,1.7228677e-10,1.3668169e-9
8,1.390925e-10,1.0659219e-9
9,2.4311666,12.855269
10,1.5601685e-9,9.596937e-9
11,5.2511103e-11,4.1053408e-10
12,1.8614048e-11,1.4315725e-10
13,6.065343,26.363878
14,9.94593e-9,1.0549378e-7
15,8.16621e-10,6.5327828e-9
16,8.229434e-10,1.3341357e-8
17,1.0362045e-11,1.0778224e-10
18,1.914689,10.910515
19,1.330796e-10,1.160941e-9
20,2.7340012e-11,4.6995413e-10
21,6.9628663e-9,6.859517e-8
22,2.7981908e-11,3.1831643e-10
23,6.677763e-10,5.2381592e-9
24,2.95161e-10,3.1242284e-9
25,4.0615983,27.606983
26,10.0,86.83617
27,5.641465,59.118454
28,1.3116186,9.248286
29,7.744595e-11,6.9150774e-10
30,1.5108986,17.514526
31,5.68032e-10,4.1857433e-9
32,4.559397e-10,4.2655977e-9
33,9.1279,66.16962
34,7.7219636e-10,8.091636e-9
35,4.7988624e-10,4.3403516e-9
36,1.3490223e-9,1.2859045e-8
37,6.747779e-10,2.750224e-9
38,9.1935376e-10,5.3671916e-9
39,2.1570262e-10,1.9844233e-9
40,6.450247e-10,7.876512e-9
41,1.0149934e-9,1.2957013e-8
42,1.5497363e-10,2.3457882e-9
43,2.978993,41.636387
44,10.0,125.06093
45,7.121504e-10,1.1988795e-8
46,8.167507e-10,1.2747944e-8
47,3.2575648e-10,3.8160684e-9
48,1.8424136e-10,3.0328824e-9
49,1.9991624e-9,3.5168835e-8
50,9.0327426e-11,1.6362761e-9
51,7.0769407e-10,1.6555997e-8
52,3.1122144e-10,6.572891e-9
53,2.1367897e-11,3.3321984e-10
54,1.740839e-10,2.9737801e-9
55,3.6746304,44.236904
56,2.6065455e-11,4.6705295e-10
57,9.589933e-10,1.294741e-8
58,6.442666,83.2699
59,1.224413e-9,1.5404053e-8
60,9.833439e-10,9.458775e-9
61,2.2509573e-10,2.6426346e-9
62,8.9410446e-10,1.0880854e-8
63,1.0081357e-10,1.5953204e-9
64,2.9918537e-9,5.609152e-8
65,5.622333e-11,3.6926168e-10
66,7.4913435,128.34279
67,1.6948809e-10,1.9552995e-9
68,10.0,82.4684
69,6.0115794e-11,7.634165e-10
70,6.0642815,50.120815
71,1.5447135,16.120195
72,3.2242856e-10,3.0334137e-9
73,10.0,141.29056
74,1.3002258e-10,2.085666e-9
75,6.2606454,83.32662
76,2.073799,18.004593
77,0.887823,9.949265
78,10.0,100.40602
79,3.5017278e-10,4.2511283e-9
80,4.3802728e-10,5.8298806e-9
81,4.571496,36.279022
82,1.6480626,21.505888
83,0.7254302,8.386576
84,7.915829e-9,6.84218e-8
85,2.328052,38.164295
86,5.5765237e-10,8.479406e-9
87,1.326758e-10,1.9972322e-9
88,2.4955686e-9,1.85558e-8
89,1.1465441e-10,1.1595717e-9
90,0.12615877,0.7799363
91,10.0,113.609665
92,6.9673176,40.278942
93,10.0,115.54203
94,1.5955557e-9,1.6490452e-8
95,1.9988946,17.377615
96,2.3055289,16.702597
97,1.4230536e-10,1.2069946e-9
98,1.8124454e-9,1.4611621e-8
99,1.3776802e-10,1.5276185e-9
100,3.9414985e-8,4.7960697e-7
101,4.531339,61.12277
102,1.2510584e-9,7.3119417e-9
103,4.3870614e-9,2.556114e-8
104,4.174213,26.985302
105,1.5052894e-10,1.2859097e-9
106,7.8357964,52.00919
107,5.3854237e-9,5.873305e-8
108,4.160055e-9,1.5620534e-8
109,6.052383e-10,3.2612686e-9
110,2.6202908,40.947998
111,3.0137366e-9,1.8323835e-8
112,7.2082973,99.215996
113,1.4901146e-8,1.1748411e-7
114,3.108369e-10,5.226325e-9
115,0.2689422,2.9814157
116,2.5426755,34.788982
117,3.6963933,43.88636
118,10.0,66.95375
119,4.2298645e-10,3.3484064e-9
120,4.2674225e-10,3.4089966e-9
121,0.65809727,9.465793
122,4.724574e-10,5.490445e-9
123,0.7931405,12.177789
124,1.4060651e-11,1.2690594e-10
125,0.12107729,1.0294566
126,1.2317564e-10,8.718739e-10
127,0.2705304,2.822114
128,0.04536083,0.4214737
129,0.38095528,4.501127
130,1.6141164e-9,2.1776602e-8
131,0.5219965,37.90269
132,1.3371057e-11,1.805725e-9
133,8.005895e-10,1.9464874e-8
134,10.0,321.14584
135,6.23856e-11,2.092359e-9
136,1.7020567e-11,5.3320814e-10
137,2.9865515e-8,2.399567e-6
138,2.4731224e-7,1.6523814e-5
139,5.1535867e-8,2.098098e-6
140,7.178401e-8,2.1636495e-6
141,6.5527,400.73145
142,4.5165308e-8,2.0751943e-6
143,4.3182624e-7,2.8069448e-5
144,7.663837e-8,2.2353731e-6
145,10.0,433.71515
146,2.584494e-8,3.2269324e-6
147,3.5134556,29.339504
