Period_Index,Rep_Period,Rep_Period_Index
1,27,5
2,8,2
3,101,17
4,101,17
5,101,17
6,132,23
7,132,23
8,107,18
9,107,18
10,107,18
11,107,18
12,113,19
13,8,2
14,152,26
15,132,23
16,113,19
17,113,19
18,113,19
19,113,19
20,113,19
21,145,25
22,132,23
23,113,19
24,47,9
25,122,21
26,121,20
27,122,21
28,122,21
29,132,23
30,121,20
31,122,21
32,122,21
33,107,18
34,107,18
35,2,1
36,130,22
37,132,23
38,132,23
39,130,22
40,107,18
41,130,22
42,122,21
43,122,21
44,145,25
45,121,20
46,8,2
47,122,21
48,122,21
49,130,22
50,143,24
51,143,24
52,145,25
53,152,26
54,107,18
55,113,19
56,113,19
57,43,8
58,113,19
59,152,26
60,152,26
61,152,26
62,157,27
63,157,27
64,157,27
65,157,27
66,157,27
67,166,28
68,43,8
69,121,20
70,122,21
71,130,22
72,130,22
73,130,22
74,130,22
75,166,28
76,166,28
77,157,27
78,178,29
79,43,8
80,178,29
81,178,29
82,178,29
83,166,28
84,132,23
85,113,19
86,178,29
87,178,29
88,178,29
89,178,29
90,18,3
91,166,28
92,178,29
93,178,29
94,178,29
95,178,29
96,178,29
97,193,30
98,166,28
99,193,30
100,193,30
101,26,4
102,193,30
103,193,30
104,193,30
105,193,30
106,243,35
107,193,30
108,193,30
109,193,30
110,193,30
111,193,30
112,2,1
113,55,10
114,193,30
115,243,35
116,193,30
117,193,30
118,241,34
119,193,30
120,241,34
121,193,30
122,243,35
123,223,31
124,18,3
125,224,32
126,224,32
127,240,33
128,224,32
129,224,32
130,243,35
131,223,31
132,224,32
133,241,34
134,240,33
135,18,3
136,241,34
137,224,32
138,243,35
139,223,31
140,224,32
141,241,34
142,240,33
143,224,32
144,224,32
145,243,35
146,43,8
147,223,31
148,240,33
149,241,34
150,240,33
151,241,34
152,240,33
153,243,35
154,223,31
155,240,33
156,241,34
157,43,8
158,240,33
159,241,34
160,224,32
161,243,35
162,223,31
163,253,36
164,241,34
165,240,33
166,241,34
167,240,33
168,18,3
169,243,35
170,223,31
171,240,33
172,253,36
173,240,33
174,240,33
175,240,33
176,243,35
177,223,31
178,253,36
179,26,4
180,253,36
181,253,36
182,224,32
183,240,33
184,243,35
185,223,31
186,240,33
187,241,34
188,240,33
189,240,33
190,27,5
191,240,33
192,243,35
193,223,31
194,253,36
195,274,37
196,287,39
197,298,40
198,287,39
199,281,38
200,281,38
201,352,50
202,281,38
203,281,38
204,287,39
205,287,39
206,287,39
207,287,39
208,287,39
209,287,39
210,287,39
211,287,39
212,30,6
213,287,39
214,287,39
215,298,40
216,287,39
217,287,39
218,298,40
219,298,40
220,287,39
221,298,40
222,298,40
223,2,1
224,30,6
225,301,41
226,301,41
227,301,41
228,338,46
229,347,49
230,287,39
231,341,48
232,301,41
233,301,41
234,312,42
235,30,6
236,352,50
237,312,42
238,312,42
239,341,48
240,314,43
241,329,45
242,338,46
243,338,46
244,352,50
245,329,45
246,312,42
247,320,44
248,320,44
249,312,42
250,338,46
251,352,50
252,329,45
253,329,45
254,320,44
255,55,10
256,329,45
257,33,7
258,329,45
259,338,46
260,338,46
261,347,49
262,320,44
263,320,44
264,329,45
265,338,46
266,338,46
267,347,49
268,55,10
269,340,47
270,341,48
271,347,49
272,347,49
273,338,46
274,338,46
275,347,49
276,347,49
277,352,50
278,27,5
279,30,6
280,347,49
281,338,46
282,352,50
283,347,49
284,347,49
285,27,5
286,27,5
287,27,5
288,27,5
289,320,44
290,30,6
291,55,10
292,27,5
293,27,5
294,2,1
295,27,5
296,27,5
297,18,3
298,59,12
299,59,12
300,2,1
301,47,9
302,27,5
303,18,3
304,43,8
305,57,11
306,57,11
307,59,12
308,47,9
309,47,9
310,57,11
311,47,9
312,57,11
313,57,11
314,57,11
315,57,11
316,55,10
317,55,10
318,57,11
319,57,11
320,57,11
321,59,12
322,2,1
323,59,12
324,47,9
325,47,9
326,59,12
327,59,12
328,43,8
329,59,12
330,312,42
331,47,9
332,88,14
333,8,2
334,18,3
335,57,11
336,59,12
337,59,12
338,57,11
339,26,4
340,55,10
341,329,45
342,57,11
343,57,11
344,8,2
345,57,11
346,347,49
347,83,13
348,83,13
349,83,13
350,57,11
351,57,11
352,59,12
353,88,14
354,88,14
355,8,2
356,88,14
357,88,14
358,93,15
359,93,15
360,93,15
361,93,15
362,96,16
363,96,16
364,113,19
365,101,17
